Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for UK
Areal series, starting in 1862
Last updated 01-Feb-2020 14:15
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1920  139.5   95.1  108.8  106.0   93.9   58.5  124.4   71.5   78.7   75.9   82.9  105.2   399.7   308.7   254.4   237.4  1140.4
1921  149.6   23.7  103.0   39.0   63.1   17.5   59.7  110.3   53.2   81.9   73.0  128.9   278.6   205.1   187.5   208.1   903.0
1922  122.9  113.9   71.9   86.1   62.4   52.4  117.0   99.2   79.5   47.2   66.1  127.6   365.8   220.5   268.7   192.8  1046.4
1923  104.1  152.6   50.6   80.0   78.6   35.8   91.4  128.6  111.6  155.7  112.8  115.2   384.3   209.2   255.8   380.1  1217.0
1924  103.7   38.9   37.1   76.1  122.8   71.1  123.3  113.3  133.4  121.5   81.4  153.0   257.7   236.0   307.8   336.4  1175.7
1925  102.2  136.6   51.0   94.3  121.5   14.0   73.9   85.9  103.5  111.2   64.8  109.3   391.8   266.8   173.9   279.5  1068.3
1926  137.3   95.3   59.1   71.0   74.3   77.4   79.8   86.7   80.1  117.7  164.2   51.6   341.9   204.5   243.9   362.0  1094.6
1927  128.1   76.1   91.8   80.5   50.7  107.2   98.3  133.0  157.3  110.1  116.9   66.0   255.9   223.0   338.6   384.4  1216.2
1928  205.1  105.4   95.4   48.8   41.1  109.7   70.0  110.7   62.3  159.5  145.6  105.9   376.4   185.4   290.3   367.4  1259.4
1929   48.9   38.7   17.0   41.1   70.0   61.6   82.0  107.0   46.2  150.7  188.1  212.9   193.5   128.0   250.6   385.0  1064.1
1930  153.4   24.3   72.5   67.5   59.2   54.4  103.0  138.7  113.6  136.4  142.9  114.5   390.6   199.2   296.1   392.9  1180.3
1931  107.9  100.4   28.8   87.3   96.9  111.8  117.3   98.2   65.6   63.9  154.7   82.2   322.7   213.1   327.3   284.2  1115.0
1932  137.6    9.1   71.5  100.2  107.8   35.7  110.6   59.7  109.6  170.4   89.6  100.6   228.9   279.5   206.0   369.6  1102.4
1933   96.5  104.7   73.3   54.8   55.7   61.2   78.0   57.7   46.9  118.3   55.7   33.0   301.8   183.8   196.8   220.9   835.7
1934  113.7   21.7   80.9   97.8   64.4   50.4   66.8  102.6   99.6  127.7   57.7  177.8   168.4   243.1   219.8   285.0  1061.1
1935   63.6  121.9   43.7  100.7   33.9  102.1   38.9   75.1  153.0  172.3  144.1   93.8   363.4   178.2   216.2   469.5  1143.3
1936  127.5   75.3   64.9   48.4   38.0   80.6  143.7   52.5  101.1   93.1  106.7  132.8   296.7   151.4   276.8   300.9  1064.7
1937  153.3  138.3   80.5   69.5   67.3   55.5   85.9   64.7   76.0   84.8   46.7   93.0   424.5   217.4   206.1   207.5  1015.6
1938  147.7   58.2   57.2   14.1   82.2   94.0  108.7   85.7   80.7  171.8  164.0  119.0   298.8   153.6   288.5   416.5  1183.4
1939  147.5   96.2   79.3   66.4   33.1   63.4  144.9   69.7   47.4  103.8  172.6   71.9   362.8   178.8   278.0   323.7  1096.1
1940   68.4   71.5   93.5   71.4   44.0   27.9  134.8   38.6   72.6  125.0  190.3  107.5   211.8   209.0   201.2   387.9  1045.5
1941   74.1  106.4   82.4   49.5   64.1   31.3   83.1  131.8   33.1  108.4  104.7   74.9   288.0   196.0   246.2   246.2   943.7
1942  125.9   46.6   68.0   50.2   95.6   31.0   89.1  107.7  103.8  127.2   44.9  136.4   247.3   213.8   227.8   275.9  1026.4
1943  147.2   82.9   45.7   65.8   92.8   76.6   67.4  116.4   97.5  128.0   86.0   64.2   366.5   204.3   260.4   311.5  1070.4
1944  116.1   52.6   28.1   65.8   61.2   81.9   74.0   82.6  118.5  131.4  165.1  106.0   232.9   155.0   238.5   414.9  1083.2
1945  100.3  110.7   54.2   50.8   96.2   93.9   77.7   72.2   91.9  118.5   22.0  118.2   317.1   201.2   243.8   232.4  1006.6
